"","pr","X0"
"1",87,0
"2",88,0
"3",91,0
"4",92,0
"5",95,0
"6",97,0
"7",98,0
"8",102,0
"9",103,0
"10",104,0
"11",106,0
"12",107,0
"13",110,0
"14",111,0
"15",112,0
"16",113,0
"17",114,0
"18",115,0
"19",116,0
"20",117,0
"21",118,0
"22",119,0
"23",120,0
"24",121,0
"25",122,0
"26",123,0
"27",124,0
"28",126,0
"29",129,0
"30",130,0
"31",131,0
"32",132,0
"33",133,0
"34",134,0
"35",135,0
"36",136,0
"37",138,0
"38",139,0
"39",141,0
"40",142,0
"41",144,0
"42",145,0
"43",148,0
"44",149,0
"45",151,0
"46",152,0
"47",153,0
"48",154,0
"49",155,0
"50",156,0
"51",157,0
"52",159,0
"53",160,0
"54",161,0
"55",167,0
"56",168,0
"57",169,0
"58",170,0
"59",171,0
"60",173,0
"61",174,0
"62",177,0
"63",180,0
"64",181,0
"65",184,0
"66",185,0
"67",186,0
"68",190,0
"69",191,0
"70",194,0
"71",199,0
"72",201,0
"73",202,0
"74",203,0
"75",207,0
"76",208,0
"77",209,0
"78",210,0
"79",212,0
"80",213,0
"81",214,0
"82",216,0
"83",220,0
"84",221,0
"85",223,0
"86",231,0
"87",234,0
"88",238,0
"89",240,0
"90",243,0
"91",244,0
"92",245,0
"93",247,0
"94",250,0
"95",254,0
"96",260,0
"97",262,0
"98",263,0
"99",268,0
"100",269,0
"101",271,0
"102",275,0
"103",278,0
"104",279,0
"105",282,0
"106",284,0
"107",285,0
"108",288,0
"109",289,0
"110",290,0
"111",293,0
"112",295,0
"113",296,0
"114",312,0
"115",313,0
"116",314,0
"117",315,0
"118",316,0
"119",318,0
"120",328,0
"121",333,0
"122",341,0
"123",344,0
"124",345,0
"125",346,0
"126",348,0
"127",349,0
"128",350,0
"129",358,0
"130",360,0
"131",363,0
"132",364,0
"133",365,0
"134",366,0
"135",367,0
"136",369,0
"137",372,0
"138",376,0
"139",382,0
"140",383,0
"141",384,0
"142",385,0
"143",386,0
"144",388,0
"145",389,0
"146",393,0
"147",395,0
"148",397,0
"149",398,0
"150",399,0
"151",400,0
"152",402,0
"153",405,0
"154",408,0
"155",409,0
"156",410,0
"157",411,0
"158",412,0
"159",413,0
"160",414,0
"161",415,0
"162",416,0
"163",417,0
"164",419,0
"165",420,0
"166",421,0
"167",423,0
"168",425,0
"169",428,0
"170",430,0
"171",431,0
"172",434,0
"173",435,0
"174",436,0
"175",437,0
"176",438,0
"177",442,0
"178",443,0
"179",444,0
"180",445,0
"181",447,0
"182",448,0
"183",451,0
"184",454,0
"185",455,0
"186",457,0
"187",458,0
"188",461,0
"189",462,0
"190",463,0
"191",466,0
"192",470,0
"193",471,0
"194",473,0
"195",477,0
"196",479,0
"197",480,0
"198",481,0
"199",482,0
"200",483,0
"201",489,0
"202",490,0
"203",492,0
"204",493,0
"205",494,0
"206",495,0
"207",496,0
